song_id,song_title,spotify_id,lastfm_url
120,"A Change Is Gonna Come",NULL,https://www.last.fm/music/Sam+Cooke/_/A+Change+Is+Gonna+Come
121,"Glory Days",NULL,https://www.last.fm/music/Bruce+Springsteen/_/Glory+Days
122,"Celebrity Skin",NULL,https://www.last.fm/music/Hole/_/Celebrity+Skin
123,Belong,NULL,https://www.last.fm/music/The+Pains+of+Being+Pure+at+Heart/_/Belong
124,"Because I Asked You",NULL,https://www.last.fm/music/Eleanor+Friedberger/_/Because+I+Asked+You
125,"Child of God",NULL,https://www.last.fm/music/Josephine+Foster/_/Child+of+God
126,Primitive,NULL,https://www.last.fm/music/Real+Estate/_/Primitive
127,"Razzle Dazzle Rose",NULL,https://www.last.fm/music/Camera+Obscura/_/Razzle+Dazzle+Rose
128,"Sad Song",NULL,https://www.last.fm/music/Au+Revoir+Simone/_/Sad+Song
129,"El Scorcho",NULL,https://www.last.fm/music/Weezer/_/El+Scorcho
130,"OUTRO (AKA: I'M A FOOL TO WANT YOU)",NULL,https://www.last.fm/music/M.+Ward/_/OUTRO+(AKA:+I%27M+A+FOOL+TO+WANT+YOU)
131,Valentine,NULL,https://www.last.fm/music/Esm%C3%A9+Patterson/_/Valentine
132,"Different Drum",NULL,https://www.last.fm/music/The+Stone+Poneys/_/Different+Drum
133,Deceptacon,NULL,https://www.last.fm/music/Le+Tigre/_/Deceptacon
134,Wonderful,NULL,https://www.last.fm/music/The+Beach+Boys/_/Wonderful
135,"Harder Than You Think",NULL,https://www.last.fm/music/Public+Enemy/_/Harder+Than+You+Think
136,"New Romantic",NULL,https://www.last.fm/music/Laura+Marling/_/New+Romantic
137,"Don't Call Me Baby",NULL,https://www.last.fm/music/Voice+of+the+Beehive/_/Don%27t+Call+Me+Baby
138,"No Cities to Love",NULL,https://www.last.fm/music/Sleater-Kinney/_/No+Cities+to+Love
139,Cyrk,NULL,https://www.last.fm/music/Cate+le+Bon/_/Cyrk
140,"Poison Cup",NULL,https://www.last.fm/music/M.+Ward/_/Poison+Cup
141,"Sleep Talk",NULL,https://www.last.fm/music/Diet+Cig/_/Sleep+Talk
142,"Tiny Dancer",NULL,https://www.last.fm/music/Elton+John/_/Tiny+Dancer
143,"September Fields",NULL,https://www.last.fm/music/Frazey+Ford/_/September+Fields
144,"They Don't Know",NULL,https://www.last.fm/music/The+Impressions/_/They+Don%27t+Know
145,"I Wanna Dance with Somebody (Who Loves Me)",NULL,https://www.last.fm/music/Whitney+Houston/_/I+Wanna+Dance+with+Somebody+(Who+Loves+Me)
146,"I'm on Fire",NULL,https://www.last.fm/music/Bruce+Springsteen/_/I%27m+on+Fire
147,"Adult Diversion",NULL,https://www.last.fm/music/Alvvays/_/Adult+Diversion
148,Everywhere,NULL,https://www.last.fm/music/Fleetwood+Mac/_/Everywhere
149,Duke,NULL,https://www.last.fm/music/Cate+le+Bon/_/Duke
150,"Drunk Americans",NULL,https://www.last.fm/music/Toby+Keith/_/Drunk+Americans
151,"I Love My Jean",NULL,https://www.last.fm/music/Camera+Obscura/_/I+Love+My+Jean
